不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
漫不经意,随随便便，不放在心上
欢欣鼓舞,欢欣：欣喜；鼓舞：振奋。形容高兴而振奋。
鲁鱼亥豕,把“鲁”字错成“鱼”字，把“亥”字错成“豕”字。指传写或刻印中的文字错误
骨肉相连,象骨头和肉一样互相连接着。比喻关系非常密切，不可分离。
怅然若失,怅然：形容不如意、不痛快。 象失去什么似的烦恼不快。
曾几何时,几何：若干、多少。才有多少时候。指没过多久。
大败亏输,打了败仗，损失很大。
不苟言笑,苟：苟且，随便。不随便说笑。形容态度庄重严肃。
国色天香,原形容颜色和香气不同于一般花卉的牡丹花。后也形容女子的美丽。
如痴如醉,形容神态失常，失去自制。
形容枯槁,枯槁：枯萎，枯干。身体瘦弱，精神萎靡，面色枯黄。
道不拾遗,遗：失物。路上没有人把别人丢失的东西拾走。形容社会风气好。
全神贯注,贯注：集中。全部精神集中在一点上。形容注意力高度集中。
堆积如山,聚积成堆，如同小山。形容极多
美轮美奂,轮：高大；奂：众多。形容房屋高大华丽。
心腹大患,见“心腹重患”。
山重水复,谓山峦重迭，水流盘曲。
确凿不移,确实可靠，不容怀疑。
风云人物,指活跃一时，言论行为能影响大局的人物。
不得善终,善终：正常死亡。指人不得好死。常指恶人应有的坏下场。
一如既往,指态度没有变化，完全象从前一样。
闭关锁国,闭关自守，不与外国往来。
看菜吃饭,比喻根据具体情况办事。
截然不同,形容两件事物毫无共同之处。
艰难曲折,困难和曲折
假仁假义,伪装仁慈善良或虚假的仁义道德
风轻云淡,微风轻拂，浮云淡薄。形容天气晴好。亦作“风轻云净”、“云淡风轻”。
宜嗔宜喜,意思是不论生气，还是高兴，总是很美的。
见惯不惊,经常看到，习以为常。 

起死回生,把快要死的人救活。形容医术高明。也比喻把已经没有希望的事物挽救过来。
胆战心惊,战：通“颤”，发抖。形容十分害怕。
料事如神,形容预料事情非常准确。
舌剑唇枪,舌如剑，唇象枪。形容争辩激烈，言词锋利，针锋相对，各不相让。
白纸黑字,白纸上写下了黑字。比喻有确凿的文字凭据，不容抵赖或悔改。
艰苦奋斗,不怕艰难困苦，坚持英勇斗争。
情逾骨肉,逾：超过；骨肉：比喻至亲。形容感情极其深厚。
自作聪明,自以为聪明而乱作主张。指过高地估计自己，主观地办事。
干脆利落,简单爽快。
正心诚意,儒家提倡的一种修养方法，泛指心术端正，意念真诚。
上下一心,上上下下一条心。
如临深渊,临：靠近；渊：深水坑。如同处于深渊边缘一般。比喻存有戒心，行事极为谨慎。
祸福相依,比喻坏事可以引出好的结果，好事也可以引出坏的结果。
花天酒地,形容荒淫腐化、吃喝嫖赌的生活。
生灵涂炭,生灵：百姓；涂：泥沼；炭：炭火。人民陷在泥塘和火坑里。形容人民处于极端困苦的境地。
六朝金粉,六朝：南朝吴、东晋、宋、齐、梁、陈六个朝代；金粉：旧时妇女妆饰用的铅粉，常用以形容繁华绮丽。亦形容六朝的靡丽繁华景象。
无家可归,没有家可回。指流离失所。
革面洗心,清除旧思想，改变旧面貌。比喻彻底改过，重新做人。
层出不穷,层：重复；层出：重复出现；穷：尽。接连不断地出现，没有穷尽
引人注目,注目：注视。吸引人们注意。
襟怀坦白,形容心地纯洁，光明正大。
同心协力,心：思想；协：合。团结一致，共同努力。
朗朗乾坤,朗朗：明朗、清亮；乾坤：原是《周易》中的两个卦名，这里指天地、世界等。形容政治清明，天下太平。
清心寡欲,清：清净；寡：少：欲：欲望，需求。保持心地清净，减少欲念。
山中宰相,南朝梁时陶弘景，隐居茅山，屡聘不出，梁武帝常向他请教国家大事，人们称他为“山中宰相”。比喻隐居的高贤。
点睛之笔,笔：文笔。指文章传神绝妙之处。
苦心孤诣,指苦心钻研，到了别人所达不到的地步。也指为寻求解决问题的办法而煞费苦心。
坐吃山空,只坐着吃，山也要空。指光是消费而不从事生产，即使有堆积如山的财富，也要耗尽。
鬼头鬼脑,形容行为举止诡秘，不光明正大。
悲天悯人,悲天：哀叹时世；悯人：怜惜众人。指哀叹时世的艰难，怜惜人们的痛苦。
分崩离析,崩：倒塌；析：分开。崩塌解体，四分五裂。形容国家或集团分裂瓦解。
孤军作战,孤立无援的军队单独奋战。比喻单独办事，没有人支援。
非此即彼,非：不是；此：这个；即：便是；彼：那个。不是这一个，就是那一个。
超然物外,超：高超脱俗；物外：世外。超出世俗生活之外。引申为置身事外。
神清气爽,①形容人神志清爽，心情舒畅。②形容人长得神态清明，气质爽朗。
更深人静,深夜没有人声，非常寂静。
鸡犬不留,形容屠杀残酷，连鸡狗都不能幸免。
暗送秋波,旧时比喻美女的眼睛象秋天明净的水波一样。指暗中眉目传情。
就地取材,在本地找需要的材料。比喻不依靠外力，充分发挥本单位的潜力。
过桥抽板,比喻目的达到后，就把帮助过自己的人一脚踢开。
厚颜无耻,颜：脸面。指人脸皮厚，不知羞耻。
蛊惑人心,蛊惑：迷惑。指用欺骗引诱等手段迷惑人，搞乱人的思想。
再接再厉,接：接战；厉：磨快，引伸为奋勉，努力。指公鸡相斗，每次交锋以前先磨一下嘴。比喻继续努力，再加一把劲。
必经之路,经：经过。一定要经过的道路。亦作“必由之路”。
洞幽察微,彻底地看到幽深微妙处
数不胜数,数：计算。数都数不过来。形容数量极多，很难计算。
不一而足,足：充足。指同类的事物不只一个而是很多，无法列举齐全。
长夜难明,比喻漫长的黑暗统治。
剖腹藏珠,破开肚子藏入珍珠。比喻自秘或惜物过甚
无情无义,没有一点情义。形容冷酷无情。
心无旁骛,旁；另外的；骛：追求。心思没有另外的追求，形容心思集中，专心致志。 
前无古人,指以前的人从来没有做过的。也指空前的。
翻天覆地,覆：翻过来。形容变化巨大而彻底。也指闹得很凶。
苟延残喘,苟：暂且，勉强；延：延续；残喘：临死前的喘息。勉强延续临死前的喘息。比喻暂时勉强维持生存。
伤天害理,伤、害：损害；天：天道；理：伦理。形容做事凶恶残忍，丧尽天良。
裹足不前,裹：缠。停步不前，好象脚被缠住了一样。
与民除害,替百姓除祸害。
面目全非,样子完全不同了。形容改变得不成样子。
顺水推船,比喻顺应情势说话行事。
瓦釜雷鸣,瓦釜：沙锅，比喻庸才。声音低沉的沙锅发出雷鸣般的响声。比喻无德无才的人占据高位，威风一时。
豺狼成性,象豺狼一样凶恶残暴成了习性。形容为人残暴
晨光熹微,熹微：天色微明。早上天色微明。
舍己为人,舍弃自己的利益去帮助别人。
扭扭捏捏,形容走路故作娇态或有意做作。也形容说话、做事不爽快、不大方。
大喜若狂,高兴得几乎发狂
心事重重,心里挂着很多沉重的顾虑
顺水推舟,顺着水流的方向推船。比喻顺着某个趋势或某种方便说话办事。
归根结底,归结到根本上。同“归根结蒂”。 

锦囊妙计,旧小说里描写足智多谋的人把对付敌方的计策写在纸条上，放在锦囊里，以便当事人在紧急时拆阅。比喻有准备的巧妙办法。
惊慌失措,由于惊慌，一下子不知怎么办才好。
不生不灭,指超脱生死的界限。现指半死不活
自求多福,求助自己比求助他人会得到更多的幸福。
常备不懈,时刻准备着，毫不忪懈。
垂涎欲滴,垂：向下；涎：口水。馋得连口水都要滴下来了。形容贪婪到极点
来者不拒,对于有所求而来的人或送上门来的东西概不拒绝。
垢面蓬头,面目肮脏，头发零乱
贩夫走卒,旧指小贩和差役。泛指旧社会里地位低下者。
厚古薄今,厚：推崇，重视；薄：轻视，怠慢。推崇古代的，轻视现代的。多用于学术研究方面。
少不更事,少：年轻；更：经历。年纪轻，没有经历过什么事情。指经验不多。
事出有因,事情的发生是有原因的。
三寸之舌,比喻能说会辩的口才。
千愁万绪,许许多多忧愁和思绪。
有头无尾,有开头没有收尾。指没有把事情做完。
两世为人,好象重新来到人间。形容在非常危险的情况中幸存下来。
严丝合缝,指缝隙严密闭合。
长治久安,形容国家长期安定、巩固。
箭在弦上,箭已搭在弦上。比喻为形势所迫，不得不采取某种行动。
虎视耽耽,象老虎那样凶狠地盯着。
从容就义,就义：为正义而死。无所畏惧地为正义事业而牺牲。
积习难改,积习：长期形成的旧习惯。长期形成的旧习惯很难更改。
苦身焦思,焦：焦急。形容人为某事忧心苦思。
穷极无聊,穷极：极端；无聊：无所依托。原指光景穷困，精神无所寄托。现也形容无事可做，非常无聊。
自我解嘲,用言语或行动为自己掩盖或辩解被人嘲笑的事。
半途而废,废：停止。指做事不能坚持到底，中途停顿，有始无终。
人稠物穰,稠：稠密，多。穰：丰盛。人口众多，物产丰盛。形容城市繁荣昌盛的景象。
富贵逼人,无心富贵，被迫出仕。也指因有财势，人来靠拢。
平安无事,平平安安，没出什么事故。 
鉴貌辨色,观察和辨识人的容颜神色，指善于观察别人脸色，以求取悦于人
闻风而动,风：风声，消息。一听到风声，就立刻起来响应。
旁征博引,旁：广泛；征：寻求；博：广博；引：引证。指说话、写文章引用材料作为依据或例证。
晨钟暮鼓,暮：傍晚。佛教规矩，寺里晚上打鼓，晚上敲钟。比喻可以使人警觉醒悟的话。
误国殃民,给国家人民带来祸害。
百花争艳,各种花草树木竞相开放出艳丽的花朵
无所不晓,见“无所不知”。
自贻伊戚,贻：遗留；伊：此；戚：忧愁，悲哀。比喻自寻烦恼，自招忧患。
蒙混过关,用欺骗的手段逃避询问或审查。
此恨绵绵,绵绵：延续不断的样子。这种遗恨缠绕心头，永远不能逝去。
卖国求荣,勾结投靠敌人，出卖国家的权益，谋求个人的富贵。
低声下气,形容说话和态度卑下恭顺的样子。
砥柱中流,就象屹立在黄河急流中的砥柱山一样。比喻坚强独立的人能在动荡艰难的环境中起支柱作用。
沐猴而冠,沐猴：猕猴；冠：戴帽子。猴子穿衣戴帽，究竟不是真人。比喻虚有其表，形同傀儡。常用来讽刺投靠恶势力窃据权位的人。
以身许国,许：预先答应给与。把身体献给国家。指尽忠报国，临难不顾。
香车宝马,华丽的车子，珍贵的宝马。指考究的车骑。
不远万里,不以万里为远。形容不怕路途遥远。
群雌粥粥,原形容鸟儿相和而鸣。后形容在场的妇女众多，声音嘈杂。
拿腔作调,故意装出特殊的腔调
深山密林,见“深山穷林”。
察言观色,察：详审。观察别人的说话或脸色。多指揣摸别人的心意。
慎终追远,终：人死；远：指祖先。旧指慎重地办理父母丧事，虔诚地祭祀远代祖先。后也指谨慎从事，追念前贤。
不堪一击,不堪：经不起。形容力量薄弱，经不起一击。也形容论点不严密，经不起反驳。
强人所难,勉强人家去做他不能做或不愿做的事情。
不谋而合,谋：商量；合：相符。事先没有商量过，意见或行动却完全一致。
情深意重,情意深重。
好色之徒,喜欢女色、玩弄女性之人。
信赏必罚,有功劳的一定奖赏，有罪过的一定惩罚。形容赏罚严明。
文人相轻,指文人之间互相看不起。
因势利导,因：循；势：趋势；利导：引导。顺着事情发展的趋势，加以引导。
心平气和,心情平静，态度温和。指不急躁，不生气。
弃暗投明,离开黑暗，投向光明。比喻在政治上脱离反动阵营，投向进步方面。
指不胜屈,指：手指；屈：弯曲。扳着指头数也数不过来。形容为数很多。
出人意料,意料：事先对情况与结果的估计。超出人们的料想猜测之外
酣然入梦,很舒适地进入梦乡
月晕而风,月晕：月亮周围出现的光环。月亮出现光环，就是要刮风的征候。比喻见到一点迹象就能知道它的发展趋向。
震聋发聩,使昏昧糊涂，不明事理的人，为之震惊，受到启发。
珍馐美馔,馐：滋味好的食物，馔：饭食。珍贵而味道好的食物。亦作“珍羞美味”。
自觉自愿,自己觉悟而愿意。
心向往之,对某个人或事物心里很向往。
混水摸鱼,比喻乘混乱的时候从中捞取不正当的利益
擅作威福,擅：自作主张。滥用职权，作威作福。
别有天地,天地：境界。比喻另有一番境界。形容风景或艺术创作的境界引人入胜。
守株待兔,株：露出地面的树根。原比喻希图不经过努力而得到成功的侥幸心理。现也比喻死守狭隘经验，不知变通。
众星捧月,许多星星衬托着月亮。比喻众人拥护着一个他们所尊敬爱戴的人。
黯然无光,黯然：阴暗的样子。形容昏暗不明亮
忍辱偷生,偷：苟且。忍受屈辱，苟且活命。
波涛汹涌,汹涌：水势腾涌的样子。形容波浪又大又急。
就地正法,在犯罪的当地执行死刑。
洞见症结,洞见：清楚地看到；症结：肚子里结块的病，比喻问题的关键。比喻事情的纠葛或问题的关键所在。形容观察锐利，看到了问题的关键。
稳如泰山,形容象泰山一样稳固，不可动摇。
一分一毫,形容很少的数量。
哀而不伤,哀：悲哀；伤：伤害。忧愁而不悲伤。比喻做事没有过头也无不及。
废寝忘餐,忘记了睡觉，顾不得吃饭。形容对某事专心致志或忘我地工作、学习。
热火朝天,形容群众性的活动情绪热烈，气氛高涨，就象炽热的火焰照天燃烧一样。
才德兼备,才：才能。德：品德。备：具备。才能和品德都具备。
内外夹攻,从里、外两方面配合同时进攻。
金石为开,金石：金属和石头，比喻最坚硬的东西。连金石都被打开了。形容一个人心诚志坚，力量无穷。
金字招牌,旧时店铺为显示资金雄厚而用金箔贴字的招牌。现比喻高人一等可以炫耀的名义或称号。也比喻名誉好。
摩拳擦掌,形容战斗或劳动之前，人们精神振奋，跃跃欲试的样子。
人各有志,指每个人都有不同的志向。
尔诈我虞,尔：你；虞、诈：欺骗。表示彼此互相欺骗。
渺无人烟,一片渺茫，没有人烟
至亲好友,关系至深的亲戚，感情最好的朋友。
趁热打铁,铁要趁烧红的时候打。比喻要抓紧有利的时机和条件去做。
废寝忘食,废：停止。顾不得睡觉，忘记了吃饭。形容专心努力。
患难与共,共同承担危险和困难。指彼此关系密切，利害一致。
巴巴结结,①勉强，凑合。②勤恳；辛劳。③形容说话不流利。
聪明伶俐,聪明：智力发达，天资高。伶俐：灵活、乖巧。形容小孩头脑机灵，活泼且乖巧。
卧虎藏龙,指隐藏着未被发现的人才，也指隐藏不露的人才。
呼天唤地,哭天叫地，形容极为痛苦
义结金兰,结交很投合的朋友。
嗟来之食,指带有侮辱性的施舍。
暴虎冯河,暴虎：空手搏虎；冯河：涉水过河。比喻有勇无谋，鲁莽冒险。
指日可待,指日：可以指出日期，为期不远；待：期待。为期不远，不久就可以实现。
敬而远之,敬：尊重；远：不接近；之：代词，指对象。表示尊敬却有所顾虑不愿接近
无所不有,什么都有（多指不好的事物）。
握手言欢,握手谈笑。多形容发生不和，以后又和好。
苦中作乐,在困苦中勉强自寻欢乐。
如臂使指,比喻指挥如意，没有牵制。
生气勃勃,勃勃：旺盛的样子。形容人或社会富有朝气，充满活力。
风流人物,风流：英俊的、杰出的。指对一个时代有很大影响的人物。有时也指举止潇洒或惯于调情的人。
正直无私,为人做事很正直，没有任何私心。
人心惶惶,惶惶：也作“皇皇”，惊惶不安的样子。人们心中惊惶不安。
公平正直,公道平等，不偏袒，不营私。
渐入佳境,原指甘蔗下端比上端甜，从上到下，越吃越甜。后比喻境况逐渐好转或兴趣逐渐浓厚。
万马齐喑,喑：哑。所有的马都沉寂无声。旧时形容人民不敢讲话。现也比喻沉闷的政治局面。
嫉恶若仇,见“嫉恶如仇”。
踏破铁鞋,比喻为找某种东西历尽困难，花费极大的力气。
离题万里,形容写文章或说话同要讲得主题距离很远，毫不相干。
牛衣对泣,睡在牛衣里，相对哭泣。形容夫妻共同过着穷困的生活。
燕雀处堂,处：居住；堂：堂屋。燕雀住在堂上。比喻生活安定而失去警惕性。也比喻大祸临头而自己不知道。
一路顺风,旅途平安（多用于祝人）。
倾巢而出,倾：倒出；巢：巢穴。比喻敌人出动全部兵力进行侵扰。
欺上瞒下,对上欺骗，博取信任；对下隐瞒，掩盖真相。
乳臭未干,臭：气味。身上的奶腥气还没有退尽。对年轻人表示轻蔑的说法。
执迷不悟,执：固执，坚持；迷：迷惑；悟：觉悟。坚持错误而不觉悟。
纵横驰骋,纵：南北方向；横：东西方向；驰骋：纵马疾驰。不受阻挡地往来奔驰。形容英勇战斗，所向无敌。也比喻写作上才思奔放，意到笔随。 
权倾天下,权势压倒天下。形容权势极大。
救亡图存,拯救国家的危亡，谋求国家的生存。
毫不介意,毫：丝毫；介：进入。指丝毫不往心里去
五光十色,形容色彩鲜艳，花样繁多。
不可造次,造次：急遽，匆忙。不能匆匆忙忙地进行。意为要慎重。
拿手好戏,原指演员擅长的剧目。泛指最擅长的本领。
兢兢业业,兢兢：小心谨慎的样子；业业：担心害怕的样子。形容小心谨慎，认真踏实
日日夜夜,每天每夜。形容延续的时间长。
秋水伊人,指思念中的那个人。
绳之以法,根据法律制裁。
臭名远扬,名：名声；扬：传播。坏名声传得很远。
自吹自擂,擂：打鼓。自己吹喇叭，自己打鼓。比喻自我吹嘘。
回心转意,心、意：心思；回、转：掉转。重新考虑，改变原来的想法和态度。
厝火积薪,厝：放置；薪：柴草。把火放到柴堆下面。比喻潜伏着很大危险。
败军之将,打了败仗的将领。现多用于讽刺失败的人。
遮天盖地,形容数量多，占的面积大。
两手空空,形容人手头很紧，一个钱也没有。
瞻前顾后,瞻：向前看；顾：回头看。看看前面，又看看后面。形容做事之前考虑周密慎重。也形容顾虑太多，犹豫不决。
海市蜃楼,蜃：大蛤。原指海边或沙漠中，由于光线的反向和折射，空中或地面出现虚幻的楼台城郭。现多比喻虚无缥渺的事物。
繁荣昌盛,繁荣：兴旺发达；昌盛：兴旺。指国家兴旺发达，欣欣向荣。
与众不同,跟大家不一样。
箪食瓢饮,一箪食物，一瓢饮料。形容读书人安于贫穷的清高生活。
旭日东升,旭日：初升的太阳。早上太阳从东方升起。形容朝气蓬勃的气象。
招权纳贿,招权：弄权，揽权；纳贿：接受贿赂。抓权力，受贿赂。
一往情深,指对人或对事物倾注了很深的感情，向往而不能克制。
风吹草动,风稍一吹，草就摇晃。比喻微小的变动。
善有善报,善：好的。报：报应。做好事必有好的报答。常与“恶有恶报”连用。
花枝招展,招展：迎风摆动的样子。形容打扮得十分艳丽。
裹尸马革,革：皮革。用马皮包裹尸体。形容将士战死沙场的英勇无畏的气慨。
字字珠玑,珠玑：珠子。每个字都像珍珠一样。比喻说话、文章的词句十分优美。
翻然改进,翻然：变动的样子。形容很快转变，有所进步。
遇水架桥,见“遇水迭桥”。
殷鉴不远,殷：指商朝后期；鉴：镜子。指殷商子孙应以夏的灭亡为借戒。后泛指前人的教训就在眼前。
公报私仇,假借公事报私人的仇恨。
一字之师,改正一个字的老师。有些好诗文，经旁人改换一个字后更为完美，往往称改字的人为“一字师”或“一字之师”。
卸磨杀驴,磨完东西后，把拉磨的驴卸下来杀掉。比喻把曾经为自己出过力的人一脚踢开。
血肉相连,象血和肉一样相互联系着。比喻关系十分密切，不可分离。
汹涌澎湃,汹涌：洪水猛烈上涌的样子；澎湃：波浪互相撞击。形容声势浩大，不可阻挡。
化整为零,把一个整体分成许多零散部分。
取信于民,取得人民的信任。
莺声燕语,莺：黄鹂。燕子的话语，黄鹂的歌声。原形容大好春光。后多形容年轻女子说笑的声音。
稍纵即逝,纵：放；逝：消失。稍微一放松就消失了。形容时间或机会等很容易过去。
五大三粗,形容人高大粗壮，体格魁梧。
意在笔先,指写字画画，先构思成熟，然后下笔。
无关紧要,紧要：急切的，重要的。不重要，不会影响大局。
泥塑木雕,指泥做的和木头雕的偶像。比喻人的表情和举动呆板。
巾帼英雄,巾帼：古代妇女配戴的头巾和发饰，后借指妇女。指女子中的英雄。
左邻右舍,左右的邻居。
灰飞烟灭,比喻事物消失净尽。
另眼相看,用另一种眼光看待。指看待某个人不同一般。也指不被重视的人得到重视。
不绝如缕,绝：断；缕：细线。多形容局面危急或声音、气息等低沉微弱、时断时续。
言之不预,没有预先说明。
慎重其事,谓对某一事的态度严肃认真。
万马奔腾,成千上万匹刀在奔跑腾跃。形容群众性的活动声势浩大或场面热烈。
与日俱增,与：跟，和。随着时间一天天地增长。形容不断增长。
安然无恙,恙：病。原指人平安没有疾病。现泛指事物平安未遭损害。
风趣横生,形容十分幽默、诙谐。
目空一切,什么都不放在眼里。形容极端骄傲自大。
上天入地,①升上天空，钻入地下。形容神通广大。②比喻为实现某种目的而四处奔走。
天长地久,跟天和地存在的时间那样长。形容时间悠久。也形容永远不变（多指爱情）。
名山大川,泛指有名的高山和源远流长的大河。
不胜枚举,胜：尽；枚：个。不能一个个地列举出来。形容数量很多。
孤陋寡闻,陋：浅陋；寡：少。形容学识浅陋，见闻不广。
渔翁得利,见“渔人得利”。
栋梁之材,栋：脊檩，正梁。能做房屋大梁的木材。比喻能担当国家重任的人才。
破竹之势,比喻节节胜利，毫无阻碍。
珠玉在侧,侧：旁边。比喻仪态俊秀的人在身边。
独步一时,形容非常突出，一个时期内没有人能比得上。
学识渊博,指学识深而且广
佛头着粪,着：放置。原指佛性慈善，在他头上放粪也不计较。后多比喻不好的东西放在好东西上面，玷污的好的东西。
英姿焕发,英姿：英勇威武姿态；焕发：光彩四射。形容英俊威武的样子。
内忧外患,多指国内不安定和外敌侵略。有时也比喻个人的情况。
扑天盖地,铺天盖地。形容声势大，来势猛。
千岩竞秀,岩：山崖；竞：竞赛。重山叠岭的风景好象互相比美。形容山景秀丽。
恶有恶报,做坏事的人会得到不好的报应。指因办坏事而自食其果。
略见一斑,略：大致；斑：斑纹。大致地看到事物的某一部分
潜移默化,潜：暗中同，不见形迹；默：不说话，没有声音。指人的思想或性格不知不觉受到感染、影响而发生了变化。
吹灰之力,比喻极轻微的力量
自我牺牲,为别人（或事)牺牲自己
前思后想,往前想想，再退后想想。形容一再考虑。
嫌贫爱富,嫌：厌恶。嫌弃贫穷的，喜爱富有的。
正言厉色,正：严正；厉：严厉，严肃；色：脸色。形容板着脸，神情非常严厉。
各自为政,指各按自己的主张办事，不互相配合。比喻不考虑全局，各搞一套
指鹿为马,指着鹿，说是马。比喻故意颠倒黑白，混淆是非。
添油加醋,比喻叙述事情或转述别人的话，为了夸大，添上原来没有的内容。
气冲斗牛,牛：牵牛星。斗：北斗星。指天空。原指宝剑的光气射入天际。后指气势很盛。亦作“气冲牛斗”。
矫若惊龙,矫：矫健。常用于形容书法笔势刚健，或舞姿婀娜。
是非分明,正确与错误非常分明。
童山濯濯,没有树木，光秃秃的山。
陈陈相因,陈：旧；因：沿袭。原指皇仓之粮逐年增加，陈粮上压陈粮。后多比喻沿袭老一套，无创造革新。
刁钻古怪,刁钻：狡诈。形容为人行事狡诈怪僻，古怪，也形容机灵乖巧
柔肠百转,形容情思缠绵，翻腾不已。
伤风败俗,伤、败：败坏。指败坏社会风俗。多用来遣责道德败坏的行为。
雅俗共赏,形容某些文艺作品既优美，又通俗，各种文化程度的人都能够欣赏。
弹丸之地,弹丸：弹弓所用的铁丸或泥丸。弹丸那么大的地方。形容地方非常狭小。
惹事生非,招惹是非，引起争端。
殚精竭力,犹殚精毕力。
傲雪欺霜,形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。
冰天雪地,形容冰雪漫天盖地。
相形见绌,形：对照；绌：不够，不足。和同类的事物相比较，显出不足。
一言难尽,形容事情曲折复杂，不是一句话能说清楚的（用在不好的事）。
大厦将倾,高楼大屋，眼看就要倒了。比喻即将来临的崩溃局势。
卷土重来,比喻失败之后，重新恢复势力。
倾国倾城,倾：倾覆；城：国。原指因女色而亡国。后多形容妇女容貌极美。
滥用职权,指过分地或非法地行使自己掌握的权力。
绝顶聪明,绝顶：极端。形容异常聪明。
八斗之才,才：才华。比喻人极有才华。
螳臂当车,当：阻挡。螳螂举起前肢企图阻挡车子前进。比喻做力量做不到的事情，必然失败。
天马行空,天马：神马。天马奔腾神速，象是腾起在空中飞行一样。比喻诗文气势豪放。也比喻人浮躁，不踏实。
耽惊受怕,担受惊吓
闻过则喜,过：过失、错误。听到别人批评自己的缺点或错误就高兴。指虚心接受意见。
有声有色,形容说话或表演精彩生动。
接踵而至,指人们前脚跟着后脚，接连不断地来。形容来者很多，络绎不绝。
妙笔生花,生花：长出花朵。比喻杰出的写作才能。
能征惯战,形容作战经验丰富，很能打仗。
错综复杂,错：交错，交叉；综：合在一起。形容头绪多，情况复杂。
令行禁止,下令行动就立即行动，下令停止就立即停止。形容法令严正，执行认真。
高枕无忧,垫高枕头睡觉，无忧无虑。比喻思想麻痹，丧失警惕。
坐享其成,享：享受；成：成果。自己不出力而享受别人取得的成果。
聊表寸心,聊：略微；寸心：微薄的心意。略微表示一下心意。
深居简出,简：简省。原指野兽藏在深密的地方，很少出现。后指常呆在家里，很少出门。
望洋兴叹,望洋：仰视的样子。仰望海神而兴叹。原指在伟大事物面前感叹自己的渺小。现多比喻做事时因力不胜任或没有条件而感到无可奈何。
描龙绣凤,指精美的手工刺绣。泛指古代女红。亦作“描鸾刺凤”、“描龙刺凤”。
难能可贵,难能：极难做到。指不容易做到的事居然能做到，非常可贵。
能文能武,文的武的都行。现常指既能动笔也有实际工作能力。
惟命是从,犹言惟命是听。
惩恶劝善,惩：责罚；劝：勉励。惩罚坏人，奖励好人。
分门别类,分、别：分辨、区别；门：一般事物的分类；类：许多相似或相同事物的综合。把一些事物按照特性和特征分别归入各种门类。
望穿秋水,秋水：比喻人的眼睛。眼睛都望穿了。形容对远地亲友的殷切盼望。
舐犊情深,比喻对子女的慈爱。
茫然若失,茫然：失意的样子；若失：好像失去了东西。形容精神不集中，恍惚，若有所失的样子
大名鼎鼎,鼎鼎：盛大的样子。形容名气很大。
缺衣少食,衣食不足。指贫穷。亦作“缺食无衣”。
公正廉明,公平正直，廉洁严明。
半饥半饱,谓不求甚饱或吃不饱饭。
深思熟虑,反复深入地考虑。
三朋四友,泛指各种朋友。
德才兼备,德：品德；才：才能；备：具备。既有好的思想品质，又有工作的才干和能力。
关门大吉,指商店倒闭或企业破产停业。
居安思危,虽然处在平安的环境里，也想到有出现危险的可能。指随时有应付意外事件的思想准备。
阴错阳差,比喻由于偶然的因素而造成的差错。
泾渭不分,比喻好坏不分，是非不明。
月白风清,形容幽静美好的夜晚。
言而有信,说话靠得住，有信用。
逢山开路,形容不畏艰险，在前开道。
一唱一和,一个先唱，一个随声应和。原形容两人感情相通。现也比喻二人互相配合，互相呼应。
能言巧辩,形容能说会道，善于言辩。
文武兼备,同时具有文才和武才，文武双全。亦作“文武兼济”、“文武兼全”。
冒名顶替,为了达到自己的某种目的，假冒别人的姓名，代他去干事或窃取他的权力、地位。
一言九鼎,九鼎：古代国家的宝器，相传为夏禹所铸。一句话抵得上九鼎重。比喻说话力量大，能起很大作用。
感人肺腑,使人内心深深感动。
来日方长,将来的日子还长着呢。表示事有可为或将来还有机会。
万死不辞,万死：死一万次，形容冒生命危险。万一万次也不推辞。表示愿意拼死效劳。
卿卿我我,形容男女相爱，十分亲昵，情意绵绵。
事过境迁,境：情况；迁：变动。事情已经过去，情况也变了。
神差鬼使,好象有鬼神在支使着一样，不自觉地做了原先没想到要做的事。
有钱有势,既有钱财，又有势力。
自取其咎,自己造成灾祸或自己找罪受。
俭以养德,节俭有助于养成质朴勤劳的德操。
操之过急,操：做，从事。处理事情，解决问题过于急躁。
山明水秀,山光明媚，水色秀丽。形容风景优美。
千疮百孔,形容漏洞、弊病很多，或破坏的程度严重。
老蚌生珠,原比喻年老有贤子。后指老年得子。
百年不遇,一百年也碰不到一次。形容很少见到过或少有的机会。
不耻下问,乐于向学问或地位比自己低的人学习，而不觉得不好意思。
势若脱兔,势：攻势。脱：脱逃。对敌人攻击的速度极快，就像脱逃的兔子奔跑那样。
突如其来,突如：突然。出乎意料地突然发生。
同流合污,流：流俗；污：肮脏。指跟坏人一起干坏事。
山呼海啸,山在呼叫，海在咆啸。形容气势盛大。也形容极为恶劣的自然境况。
见财起意,见人钱财，动起歹念。
鸦雀无声,连乌鸦麻雀的声音都没有。形容非常静。
一模一样,样子完全相同。
八方支援,形容各方面都支持、援助
亭亭玉立,亭亭：高耸直立的样子。形容女子身材细长。也形容花木等形体挺拔。
蜻蜓点水,指蜻蜓在水面飞行时用尾部轻触水面的动作。比喻做事肤浅不深入。
